tag_id;name;category;count
1762231;kirima_syaro;4;2363
1757377;yelan_(genshin_impact);4;2355
1770073;nishikigi_chisato;4;2355
1630723;hatsuzuki_(kancolle);4;2350
12405;nagisa_kaworu;4;2340
1631174;michishio_(kancolle);4;2338
1631299;saratoga_(kancolle);4;2336
1595577;surtr_(arknights);4;2336
394054;louise_francoise_le_blanc_de_la_valliere;4;2335
1271042;kiana_kaslana;4;2326
1670936;accelerator_(toaru_majutsu_no_index);4;2324
1630708;harusame_(kancolle);4;2324
482064;makinami_mari_illustrious;4;2308
12094;arcueid_brunestud;4;2303
438007;kamijou_touma;4;2299
4587;shana;4;2288
1627610;katsushika_hokusai_(fate);4;2287
554006;tachibana_kanade;4;2286
1584981;shiroko_(blue_archive);4;2283
12297;merlin_prismriver;4;2282
1440020;takao_(azur_lane);4;2282
1387675;kamado_nezuko;4;2273
1318503;marie_(splatoon);4;2268
1279297;yura_(kancolle);4;2267
1267920;re-class_battleship;4;2266
499269;miyu_edelfelt;4;2250
395970;ranka_lee;4;2248
658637;chitanda_eru;4;2248
385134;ushiromiya_battler;4;2247
1631440;u-511_(kancolle);4;2246
12298;lyrica_prismriver;4;2240
439625;kaenbyou_rin_(cat);4;2236
591958;kirigiri_kyouko;4;2236
1287911;hino_akane_(smile_precure!);4;2236
1452342;amamiya_ren;4;2236
1398811;kanna_kamui;4;2229
1631478;yahagi_(kancolle);4;2226
1821363;nahida_(genshin_impact);4;2225
1524970;reisalin_stout;4;2221
670005;yukine_chris;4;2219
700404;isuzu_hana;4;2219
549180;kashiwazaki_sena;4;2218
1378260;lana_(pokemon);4;2210
1533761;amber_(genshin_impact);4;2210
1631206;mutsuki_(kancolle);4;2206
403861;kyonko;4;2204
1399517;tippy_(gochiusa);4;2203
557446;ethan_(pokemon);4;2201
1440130;laffey_(azur_lane);4;2200
1255756;t-head_admiral;4;2192
479706;yuuki_makoto;4;2190
1440202;enterprise_(azur_lane);4;2187
1481047;akai_haato;4;2180
1630695;haguro_(kancolle);4;2172
615600;toshinou_kyouko;4;2165
601487;enoshima_junko;4;2163
1602944;mudrock_(arknights);4;2159
1566117;kal'tsit_(arknights);4;2151
1447375;tamamo_cat_(fate);4;2150
1631032;i-8_(kancolle);4;2149
1630524;atlanta_(kancolle);4;2148
1630210;abukuma_(kancolle);4;2147
12564;uchiha_sasuke;4;2142
1483850;napoleon_bonaparte_(fate);4;2142
454513;hanekawa_tsubasa;4;2141
1811190;nilou_(genshin_impact);4;2136
1515525;mayuzumi_fuyuko;4;2133
99;shinku;4;2131
1631433;tone_(kancolle);4;2131
1630477;akizuki_(kancolle);4;2130
1602206;qiqi_(genshin_impact);4;2128
598066;houjou_hibiki;4;2127
9080;futami_ami;4;2125
1055516;akari_(pokemon);4;2120
12106;kousaka_tamaki;4;2116
